word,splitted,freqcount,cdcount
Da,Da,1183,448
intend,in-tend,1183,897
parties,par-ties,1182,881
considered,con-si-dered,1182,953
cast,cast,1180,797
Burns,Burns,1180,565
prisoner,pri-soner,1180,631
Frasier,Fra-sier,1179,110
popular,po-pu-lar,1177,849
destiny,des-ti-ny,1175,588
robbery,rob-be-ry,1175,568
silent,si-lent,1173,785
federal,fe-deral,1173,672
violence,vio-len-ce,1173,766
hearts,hearts,1172,851
nerve,nerve,1171,834
mystery,mys-te-ry,1171,837
library,li-bra-ry,1170,687
circumstances,cir-cums-tan-ces,1170,938
toward,toward,1169,879
busted,bus-ted,1168,876
rocks,rocks,1167,777
becoming,be-co-ming,1167,961
photo,pho-to,1165,774
tower,to-wer,1165,540
Miller,Mil-ler,1165,342
practically,prac-ti-cally,1165,958
embarrassing,em-bar-ras-sing,1165,926
maid,maid,1164,614
armed,armed,1164,807
shift,shift,1164,793
friendship,friends-hip,1164,788
wallet,wal-let,1163,689
package,pac-kage,1162,705
range,range,1161,736
flower,flo-wer,1161,629
beating,bea-ting,1160,900
Elizabeth,E-li-za-beth,1160,324
rope,rope,1158,654
steady,stea-dy,1158,742
Cheers,Cheers,1158,711
results,re-sults,1158,818
cleaning,clea-ning,1157,883
exact,e-xact,1154,948
image,i-mage,1154,818
Maria,Ma-r-ia,1154,266
Barbara,Bar-bara,1154,320
turkey,tur-key,1153,572
vehicle,ve-hi-cle,1153,668
nasty,nas-ty,1151,897
easily,ea-si-ly,1151,955
jungle,jun-gle,1151,486
pot,pot,1149,763
sensitive,sen-si-tive,1149,909
suffer,suf-fer,1148,898
millions,mil-lions,1147,818
trash,trash,1146,804
remembered,re-mem-bered,1146,954
thou,thou,1144,385
ambulance,am-bu-lance,1143,727
prize,prize,1142,735
behavior,be-ha-vior,1142,861
nightmare,nigh-tmare,1142,857
per,per,1141,795
tears,tears,1140,817
snake,snake,1140,526
cancer,can-cer,1139,591
families,fa-milies,1139,824
terms,terms,1138,863
orange,o-range,1138,684
media,me-d-ia,1137,852
foreign,fo-reign,1137,749
Donna,Don-na,1136,235
wasting,was-ting,1135,955
songs,songs,1132,615
memories,me-mo-ries,1132,764
Spanish,Spa-nish,1130,606
material,ma-te-ri-al,1129,825
expert,ex-pert,1128,842
Charlotte,Char-lotte,1128,180
cutting,cut-ting,1126,904
rude,rude,1125,885
flesh,flesh,1125,792
advantage,a-dvan-tage,1125,918
Inspector,Ins-pec-tor,1124,290
disappointed,di-sap-poin-ted,1124,928
signs,signs,1123,863
Terry,Ter-ry,1123,217
guarantee,gua-ran-tee,1123,880
committee,com-mit-tee,1123,528
punk,punk,1121,643
kinds,kinds,1121,932
downtown,down-town,1118,818
sandwich,san-dwich,1118,748
marks,marks,1117,651
understanding,un-ders-tan-ding,1117,895
Daniel,Da-niel,1116,278
mistakes,mis-takes,1116,894
sweat,sweat,1115,863
political,po-li-ti-cal,1115,646
panic,pa-nic,1114,792
cents,cents,1114,672
plain,plain,1113,832
performance,per-for-mance,1113,719
boom,boom,1112,585
stops,stops,1112,882
union,u-nion,1111,632
Parker,Par-ker,1111,263
seats,seats,1110,787
Mum,Mum,1108,312
fruit,fruit,1108,715
cable,ca-ble,1108,535
hundreds,hun-dreds,1108,896
Objection,Ob-jec-tion,1108,361
separate,se-parate,1107,915
Kong,Kong,1106,328
ancient,an-cient,1105,738
underwear,un-der-wear,1105,754
Fox,Fox,1102,409
Lewis,Le-wis,1102,316
moments,mo-ments,1101,885
Cliff,Cliff,1100,381
castle,cas-tle,1099,382
setting,set-ting,1099,959
rolling,rol-ling,1099,753
delicious,de-li-cious,1098,854
value,va-lue,1097,862
circle,cir-cle,1097,689
bills,bills,1096,754
glory,glo-ry,1096,636
squad,squad,1096,563
Chuck,Chuck,1096,363
miserable,mi-se-rable,1096,854
manage,ma-nage,1095,889
counting,coun-ting,1095,873
bowl,bowl,1094,682
zero,ze-ro,1094,651
victory,vic-tory,1094,636
stands,stands,1093,876
Willie,Wil-lie,1093,212
embarrassed,em-bar-rassed,1093,834
creature,crea-ture,1092,657
deny,de-ny,1091,773
basketball,bas-ket-ball,1091,420
mixed,mixed,1090,828
route,route,1089,751
continues,con-ti-nues,1089,680
Bruce,Bruce,1088,243
rare,rare,1087,864
Nancy,Nan-cy,1087,286
yelling,yel-ling,1087,766
holiday,ho-li-day,1086,617
ill,ill,1085,698
hidden,hid-den,1085,835
Andrew,An-drew,1085,270
wave,wave,1084,680
helps,helps,1084,905
remove,re-move,1084,818
directly,di-rec-tly,1084,875
progress,pro-gress,1084,834
gods,gods,1083,394
chain,chain,1082,739
authority,aut-ho-ri-ty,1082,791
wore,wore,1081,864
highly,hig-hly,1081,874
hunting,hun-ting,1081,687
emotional,e-mo-tio-nal,1081,767
shadow,sha-dow,1080,624
FALSE,FALSE,1078,826
jumped,jumped,1078,849
gray,gray,1077,539
skip,skip,1076,689
whore,whore,1076,616
estate,es-tate,1076,687
horn,horn,1075,586
Jess,Jess,1074,169
agents,a-gents,1074,583
appears,ap-pears,1074,846
basement,ba-sement,1074,679
minds,minds,1072,861
pleasant,plea-sant,1072,806
mile,mile,1071,779
clients,cli-ents,1071,623
refuse,re-fuse,1070,849
approach,ap-proach,1070,804
disappear,di-sap-pear,1069,837
bug,bug,1068,583
speaks,speaks,1068,681
rabbit,rab-bit,1068,447
district,dis-trict,1068,608
Jeez,Jeez,1067,762
champion,cham-pi-on,1067,511
Watson,Wa-tson,1066,98
proceed,pro-ceed,1066,722
stopping,stop-ping,1066,894
competition,com-pe-ti-tion,1066,609
Anne,Anne,1065,216
forces,for-ces,1064,668
leading,lea-ding,1064,823
presence,pre-sence,1064,861
cure,cure,1063,627
Rita,Ri-ta,1063,182
century,cen-tu-ry,1063,727
capable,ca-pa-ble,1062,857
swell,swell,1061,570
convinced,con-vinced,1061,849
Wayne,Wayne,1060,253
warrant,war-rant,1060,613
threat,threat,1059,757
therefore,the-refore,1058,730
Zack,Zack,1056,100
bury,bu-ry,1054,757
Ruth,Ruth,1054,208
shine,shine,1053,666
April,A-pril,1053,421
diamond,dia-mond,1053,473
services,ser-vi-ces,1053,793
bat,bat,1052,561
Monica,Mo-ni-ca,1052,264
chip,chip,1051,490
alert,a-lert,1051,658
Edward,E-dward,1051,241
Jenny,Jen-ny,1050,260
transfer,trans-fer,1048,677
thrown,thrown,1047,881
sentence,sen-tence,1047,708
fabulous,fa-bu-lous,1046,679
pushed,pushed,1045,794
nation,na-tion,1045,620
Earl,Earl,1042,225
butter,but-ter,1042,672
jokes,jokes,1040,700
reporter,re-por-ter,1040,513
Josh,Josh,1039,175
booth,booth,1039,419
casino,ca-si-no,1039,325
Potter,Pot-ter,1039,255
successful,suc-cess-ful,1037,847
learning,lear-ning,1036,815
sand,sand,1035,618
awfully,aw-fully,1035,780
possibility,pos-si-bi-li-ty,1035,825
bow,bow,1034,609
cage,cage,1034,564
wolf,wolf,1034,376
desire,de-sire,1034,733
nigger,nig-ger,1034,253
wing,wing,1032,581
units,u-nits,1032,596
exchange,exc-hange,1031,754
trapped,trapped,1030,771
pet,pet,1029,623
thin,thin,1029,803
bored,bored,1029,785
rip,rip,1028,765
drama,dra-ma,1028,480
series,se-ries,1028,711
hills,hills,1027,609
homework,ho-mework,1027,634
zone,zone,1026,622
carried,car-ried,1026,845
entirely,en-ti-re-ly,1026,810
spy,spy,1023,515
explanation,ex-pla-na-tion,1023,794
assure,as-sure,1021,819
failure,fai-lure,1021,744
hits,hits,1020,816
collect,col-lect,1020,791
bang,bang,1019,588
Joseph,Jo-seph,1019,350
swimming,swim-ming,1019,639
print,print,1018,635
launch,launch,1018,395
fever,fe-ver,1017,570
Jordan,Jor-dan,1017,228
useless,u-seless,1017,766
journey,jour-ney,1017,670
delivery,de-li-ve-ry,1017,703
photos,pho-tos,1016,615
kills,kills,1015,826
sport,sport,1015,665
loan,loan,1013,580
Shore,Shore,1013,455
Barry,Bar-ry,1013,272
challenge,chal-lenge,1013,700
soda,so-da,1012,667
spoken,spo-ken,1012,857
routine,rou-tine,1012,748
mask,mask,1010,480
Teli,Te-li,1010,151
trunk,trunk,1010,561
Clark,Clark,1010,264
teaching,teac-hing,1010,735
leads,leads,1009,817
purse,purse,1008,672
result,re-sult,1008,777
passion,pas-sion,1008,724
Seth,Seth,1007,134
argue,ar-gue,1007,814
climb,climb,1007,724
served,served,1007,841
cats,cats,1006,539
beef,beef,1005,643
witnesses,wi-tnes-ses,1005,657
wings,wings,1003,635
recall,re-call,1003,787
Barney,Bar-ney,1003,185
cabin,ca-bin,1002,459
ships,ships,1002,414
mental,men-tal,1002,707
script,script,1000,404
Vic,Vic,998,183
solid,so-lid,998,781
article,ar-ti-cle,998,553
education,e-du-ca-tion,996,683
salt,salt,995,612
solve,solve,994,754
confidence,con-fi-dence,993,751
metal,me-tal,992,663
frankly,fran-kly,992,842
receive,re-ceive,992,755
wounded,woun-ded,992,594
anger,an-ger,991,639
agency,a-gen-cy,991,588
settled,set-tled,991,824
escaped,es-caped,991,717
suffering,suf-fering,991,755
pipe,pipe,989,643
trace,trace,989,699
detail,de-tail,989,737
wins,wins,988,661
supper,sup-per,988,591
spit,spit,987,742
effort,ef-fort,987,795
studying,stu-dy-ing,987,706
hug,hug,986,695
enemies,e-ne-mies,985,684
treatment,trea-tment,985,644
commit,com-mit,984,724
Dragon,Dra-gon,984,277
troops,troops,983,456
reputation,re-pu-ta-tion,983,734
intelligence,in-tel-li-gence,983,648
Gimme,Gim-me,982,545
custody,cus-to-dy,982,603
site,site,980,601
ability,a-bi-li-ty,980,679
fifth,fifth,979,748
trail,trail,979,624
palace,pa-lace,979,438
pushing,pus-hing,978,800
hop,hop,977,652
stays,stays,977,839
boots,boots,977,598
owns,owns,976,771
mouse,mouse,975,400
houses,hou-ses,975,738
attempt,at-tempt,975,752
lawyers,la-wyers,975,646
ease,ease,974,718
bout,bout,974,596
hurting,hur-ting,974,797
stronger,stron-ger,974,761
Chloe,Ch-loe,973,129
ordinary,or-di-na-ry,973,708
presents,pre-sents,973,615
considering,con-si-de-ring,973,838
ripped,ripped,972,745
laundry,laun-dry,972,642
treasure,trea-sure,972,425
impressed,im-pressed,972,823
customers,cus-to-mers,972,672
revenge,re-venge,971,649
odds,odds,970,708
Bravo,Bra-vo,970,527
tricks,tricks,969,730
Rome,Rome,968,317
cowboy,cow-boy,968,482
nuclear,nu-cl-ear,968,379
motion,mo-tion,967,630
mall,mall,964,426
Kirk,Kirk,964,185
virus,vi-rus,964,264
forest,fo-rest,963,500
Reverend,Re-verend,963,304
June,June,962,471
Noel,No-el,962,91
sounded,soun-ded,962,816
trained,trained,962,741
El,El,961,437
virgin,vir-gin,961,546
scratch,scratch,961,734
fifty,fif-ty,960,640
breaks,breaks,960,809
Twelve,Twelve,960,649
potential,po-ten-tial,960,748
defend,de-fend,959,683
contest,con-test,958,500
Africa,A-fri-ca,957,425
plastic,plas-tic,957,681
fashion,fas-hion,957,640
cap,cap,956,619
Mickey,Mic-key,956,290
latest,la-test,955,819
Lincoln,Lin-coln,955,397
convince,con-vince,955,805
interrupt,in-ter-rupt,955,849
Joan,Joan,954,193
issues,is-sues,954,692
cheer,cheer,953,733
arrive,ar-rive,953,725
chose,chose,952,775
supply,sup-ply,952,700
Catherine,Cat-herine,952,240
surveillance,sur-veil-lance,952,553
nail,nail,951,710
ignore,i-gnore,951,771
mountains,moun-tains,951,585
vice,vice,950,505
league,league,950,607
joking,jo-king,949,749
Albert,Al-bert,949,251
figures,fi-gures,949,764
Stanley,Stan-ley,949,171
Thanksgiving,Thanks-gi-ving,949,275
Coke,Coke,948,481
loaded,loa-ded,948,760
favour,favour,948,603
messages,mes-sa-ges,948,688
cheating,chea-ting,948,603
coincidence,coin-ci-den-ce,948,742
title,ti-tle,947,588
quality,qua-li-ty,947,736
Bunny,Bun-ny,946,340
Vincent,Vin-cent,946,221
division,di-vi-sion,946,539
impression,im-pres-sion,946,787
reasonable,rea-so-nable,946,668
particularly,par-ti-cu-lar-ly,946,785
tiger,ti-ger,945,441
se,se,944,357
therapy,the-ra-py,944,576
bastards,bas-tards,943,670
museum,mu-se-um,942,459
steel,steel,941,545
minister,mi-nis-ter,941,395
bound,bound,940,738
slave,slave,940,498
wishes,wis-hes,940,663
standard,stan-dard,940,728
yell,yell,939,731
dreaming,drea-ming,939,668
anniversary,an-ni-ver-sa-ry,939,452
Florida,Flo-ri-da,938,507
shy,shy,937,694
firing,fi-ring,937,613
reminds,re-minds,937,813
walks,walks,936,759
cruel,cruel,936,690
Hunter,Hun-ter,936,385
Bible,Bi-ble,935,520
seek,seek,934,632
Las,Las,933,404
Pat,Pat,933,357
prime,prime,933,546
cancel,can-cel,933,727
chasing,cha-sing,933,769
socks,socks,932,546
former,for-mer,932,719
smooth,smooth,932,710
Wednesday,We-dnesday,932,609
dates,dates,931,658
Judy,Ju-dy,930,229
modern,mo-dern,930,676
surface,sur-face,930,543
role,role,929,653
curse,curse,929,517
lifetime,li-fetime,929,775
gym,gym,927,530
eaten,ea-ten,927,766
motel,mo-tel,927,469
chosen,cho-sen,927,664
device,de-vice,926,563
enjoyed,en-joyed,926,772
Russell,Rus-sell,926,199
collection,col-lec-tion,926,669
Christopher,Chris-top-her,926,225
pee,pee,925,547
heck,heck,925,607
noon,noon,924,703
Hong,Hong,924,272
Jersey,Jer-sey,923,455
Previously,Pre-vio-u-sly,923,856
sons,sons,921,615
blowing,blo-wing,921,748
reward,re-ward,919,598
lets,lets,918,610
degrees,de-grees,918,610
Georgia,Geor-gia,918,256
bothering,bot-he-ring,917,759
bars,bars,916,672
iron,i-ron,915,622
Mitch,Mitch,915,146
dumped,dumped,915,670
cameras,ca-meras,915,581
Saint,Saint,914,504
Devon,De-von,914,105
express,ex-press,914,680
Janet,Ja-net,913,155
cookies,coo-kies,913,501
sacrifice,sa-cri-fice,913,647
tunnel,tun-nel,912,445
assignment,as-si-gnment,912,606
highway,hig-hway,911,576
guide,guide,910,657
insist,in-sist,910,751
slide,slide,909,569
Victor,Vic-tor,909,248
wrap,wrap,908,736
Oscar,Os-car,908,260
specific,spe-ci-fic,908,743
cleaned,cleaned,907,776
prom,prom,906,321
wagon,wa-gon,906,468
lack,lack,905,761
cigarettes,ci-ga-rettes,905,567
Jean,Jean,904,193
packed,packed,904,745
exercise,e-xer-cise,904,640
defendant,de-fen-dant,904,316
cheat,cheat,901,616
bullets,bul-lets,901,588
kit,kit,900,424
Marshal,Mars-hal,900,215
ringing,rin-ging,899,574
background,back-ground,899,668
clue,clue,898,694
damned,damned,898,639
Walt,Walt,896,192
assault,as-sault,896,591
Ld,L-d,895,546
suits,suits,895,707
ranch,ranch,895,316
temple,tem-ple,895,409
Fifteen,Fif-teen,895,618
concert,con-cert,895,417
Dorothy,Do-rothy,895,172
planes,planes,894,350
vampire,vam-pire,894,229
designed,de-signed,894,681
foolish,foo-lish,893,685
flag,flag,892,497
tent,tent,892,445
Daphne,Dap-hne,892,116
darkness,dar-kness,892,567
agreement,a-gree-ment,892,603
rotten,rot-ten,891,650
term,term,890,693
Pacey,Pa-cey,890,74
remains,re-mains,890,671
alien,a-li-en,889,319
patch,patch,888,521
provide,pro-vide,888,754
touching,touc-hing,888,732
snap,snap,887,656
Cooper,Coo-per,887,214
Davis,Da-vis,886,299
bail,bail,885,522
believes,be-lieves,885,708
imagination,i-ma-gi-na-tion,885,650
actual,ac-tual,884,706
incident,in-ci-dent,883,685
Sonny,Son-ny,882,269
Molly,Mol-ly,882,152
liquor,li-quor,882,589
released,re-leased,882,657
disaster,di-sas-ter,881,684
connected,con-nec-ted,881,683
mass,mass,880,620
fully,ful-ly,880,739
comfort,com-fort,878,692
sec,sec,877,708
smiling,smi-ling,877,676
fuel,fuel,876,386
Thirty,Thir-ty,876,590
border,bor-der,876,462
Francis,Fran-cis,876,212
legend,le-gend,875,565
players,play-ers,875,464
crossed,crossed,874,740
electric,e-lec-tric,874,537
opera,o-pera,873,376
demand,de-mand,873,687
Donald,Do-nald,873,239
circus,cir-cus,870,450
trauma,trau-ma,869,425
Turtle,Tur-tle,869,259
current,current,869,671
diamonds,dia-monds,869,340
laws,laws,868,592
salad,sa-lad,868,586
Bundy,Bun-dy,868,184
prints,prints,868,458
enjoying,en-joy-ing,868,775
neighbors,neigh-bors,868,635
Peggy,Peg-gy,867,223
argument,ar-gu-ment,867,702
Harper,Har-per,866,147
describe,des-cribe,866,693
starving,star-ving,865,720
impressive,im-pres-sive,865,711
nigga,nig-ga,864,92
neighbor,neigh-bor,864,623
sink,sink,863,646
fallen,fal-len,863,718
council,coun-cil,863,386
backup,bac-kup,862,577
screams,screams,862,428
wipe,wipe,861,725
sneak,sneak,861,737
Avenue,A-ve-nue,861,564
trigger,trig-ger,861,634
tone,tone,860,640
events,e-vents,860,668
Norman,Nor-man,860,182
toy,toy,859,562
Meg,Meg,859,142
youth,youth,858,600
crush,crush,857,625
factory,fac-to-ry,857,483
Felicity,Fe-li-ci-ty,857,58
Jen,Jen,856,167
grass,grass,856,550
trusted,trus-ted,856,703
instance,ins-tance,856,672
campaign,cam-paign,856,418
Williams,Wil-liams,856,321
searching,searc-hing,856,665
Bishop,Bis-hop,855,198
Ken,Ken,854,219
goal,goal,854,540
wasted,was-ted,854,722
tracks,tracks,854,583
Dennis,Den-nis,854,204
messed,messed,853,669
asks,asks,852,745
cookie,coo-kie,852,448
generous,ge-ne-rous,852,700
fairy,fai-ry,851,430
violent,vio-lent,850,679
humor,hu-mor,849,675
suite,suite,849,442
Benny,Ben-ny,849,165
crisis,cri-sis,849,611
Harvey,Har-vey,849,187
average,a-verage,849,590
liberty,li-ber-ty,849,539
rats,rats,848,508
opens,o-pens,848,648
slipped,slipped,848,729
systems,sys-tems,848,441
stake,stake,847,666
nephew,nep-hew,846,475
managed,ma-naged,846,706
gambling,gam-bling,846,449
alcohol,al-co-hol,845,588
Admiral,A-dmi-ral,845,181
politics,po-li-tics,845,529
threatened,threa-tened,845,687
begins,be-gins,844,716
gentle,gen-tle,844,630
Shirley,Shir-ley,844,215
occasion,oc-ca-sion,844,692
unhappy,un-hap-py,843,622
network,ne-twork,843,473
cleared,cleared,842,687
joined,joined,841,700
charity,cha-ri-ty,841,538
explosion,ex-plo-sion,841,467
confession,con-fes-sion,841,546
Wade,Wade,840,120
finest,fi-nest,840,695
offense,of-fense,840,692
shout,shout,839,461
judgment,jud-gment,839,656
headquarters,head-quar-ters,839,500
tube,tube,838,455
filthy,filt-hy,838,594
surgeon,sur-geon,838,500
hon,hon,837,478
math,math,836,508
operator,o-pe-ra-tor,836,475
kidnapped,ki-dnapped,836,467
pin,pin,835,545
personnel,per-son-nel,835,534
mix,mix,834,677
sucker,suc-ker,834,587
alley,al-ley,831,562
dancer,dan-cer,831,499
dealer,dea-ler,831,495
humans,hu-mans,831,426
chat,chat,830,644
hoped,hoped,830,710
reaction,reac-ti-on,830,653
depressed,de-pressed,830,583
mon,mon,829,369
underneath,un-der-neath,829,692
commercial,com-mer-cial,829,530
chill,chill,828,540
chips,chips,828,533
steak,steak,828,520
behave,be-have,828,652
gloves,gloves,828,469
version,ver-sion,828,582
fantasy,fan-ta-sy,828,557
sides,sides,827,684
worrying,wor-ry-ing,827,688
struck,struck,826,665
design,de-sign,826,558
dropping,drop-ping,826,685
honeymoon,ho-ney-moon,826,485
experiment,ex-pe-ri-ment,826,459
blast,blast,825,598
identify,i-den-ti-fy,825,619
classic,clas-sic,824,662
arranged,ar-ranged,824,691
quarters,quar-ters,824,541
Buster,Bus-ter,823,266
spirits,spi-rits,823,468
crystal,crys-tal,823,374
delivered,de-li-vered,823,681
procedure,pro-ce-dure,823,581
whiskey,whis-key,822,439
Goodnight,Goo-dnight,822,299
Jay,Jay,821,169
perform,per-form,821,649
response,res-ponse,821,598
divorced,di-vorced,821,586
prisoners,pri-soners,821,419
dope,dope,820,512
fence,fence,819,552
poker,po-ker,819,435
greater,grea-ter,819,634
powder,pow-der,818,522
landing,lan-ding,818,497
normally,nor-mally,818,704
drawing,dra-wing,817,564
actress,ac-tress,817,379
Vietnam,Vie-tn-am,817,285
protecting,pro-tec-ting,817,664
gear,gear,816,559
rape,rape,816,387
locker,loc-ker,815,491
advance,a-dvance,815,654
suspicious,sus-pi-cious,815,639
Buzz,Buzz,814,383
sin,sin,813,494
Beth,Beth,813,143
civil,ci-vil,813,571
Le,Le,812,300
Miami,Mia-m-i,812,346
ending,en-ding,812,596
torture,tor-ture,812,559
classes,clas-ses,812,555
marrying,mar-ry-ing,812,550
Meanwhile,Meanw-hile,812,612
blown,blown,811,677
banks,banks,811,410
Teddy,Ted-dy,811,261
selfish,sel-fish,811,624
Christian,Chris-tian,811,412
personality,per-so-na-li-ty,811,564
fed,fed,810,661
dough,dough,810,407
Lf,L-f,809,505
warned,warned,808,693
Walker,Wal-ker,808,222
confess,con-fess,808,562
deserves,de-serves,808,700
tries,tries,807,710
clown,clown,807,446
Rocky,Roc-ky,807,232
solution,so-lu-tion,807,636
ceremony,ce-re-mo-ny,807,514
Highness,Hig-hness,807,212
Connie,Con-nie,806,146
helicopter,he-li-cop-ter,806,450
costs,costs,805,660
prayer,prayer,805,564
forth,forth,804,642
apology,a-po-lo-gy,804,636
dressing,dres-sing,804,614
invented,in-ven-ted,803,596
Hm,H-m,802,422
hers,hers,802,687
Corporal,Cor-poral,802,281
Emma,Em-ma,801,136
accepted,ac-cep-ted,801,658
strip,strip,800,596
boxes,bo-xes,800,557
singer,sin-ger,800,396
entrance,en-trance,800,609
Pearl,Pearl,799,304
gather,gat-her,799,674
deputy,de-pu-ty,798,373
satellite,sa-tel-lite,798,388
concentrate,con-cen-trate,798,652
instructions,ins-truc-tions,798,597
uncomfortable,un-com-for-ta-ble,798,645
nut,nut,797,551
daily,dai-ly,797,588
tune,tune,796,552
stress,stress,796,583
sauce,sauce,795,492
sighs,sighs,795,309
merely,me-rely,795,603
guitar,gui-tar,795,341
Porter,Por-ter,795,210
kicking,kic-king,795,640
valuable,va-lua-ble,795,667
pretending,pre-ten-ding,795,649
exit,e-xit,794,569
basic,ba-sic,794,614
charm,charm,794,597
belly,bel-ly,794,582
net,net,793,541
blows,blows,793,635
voices,voi-ces,793,515
Steven,Ste-ven,793,227
pitch,pitch,792,474
patrol,pa-trol,792,501
romance,ro-mance,792,571
Japan,Ja-pan,791,340
arrange,ar-range,791,657
satisfied,sa-tis-fied,791,640
teams,teams,790,445
makeup,ma-keup,790,519
Matthew,Matt-hew,790,211
surrender,sur-ren-der,789,438
rub,rub,788,589
whistle,whis-tle,788,473
strangers,stran-gers,788,640
bum,bum,787,479
Fort,Fort,787,406
wives,wives,787,569
kingdom,king-dom,787,443
visiting,vi-si-ting,787,675
hip,hip,786,505
flew,flew,785,600
hood,hood,785,475
Ling,Ling,785,125
Anthony,Ant-ho-ny,785,191
junk,junk,784,570
diet,di-et,784,557
dreamed,dreamed,784,629
patience,pa-tience,784,573
earn,earn,783,623
lion,li-on,783,328
flash,flash,783,578
Ralph,Ralph,783,228
frozen,fro-zen,782,555
robbed,robbed,782,515
homicide,ho-mi-cide,782,452
decisions,de-ci-sions,781,614
gross,gross,779,602
holes,holes,779,556
Mel,Mel,778,172
uses,u-ses,778,660
badge,badge,778,463
offering,of-fering,777,675
financial,fi-nan-cial,777,555
soap,soap,775,515
answered,an-swered,775,657
opposite,op-posite,775,650
customer,cus-to-mer,775,578
officially,of-fi-cial-ly,775,657
beside,be-side,774,611
privacy,pri-va-cy,774,618
unknown,un-known,774,589
anyhow,a-ny-how,773,558
painful,pain-ful,773,642
represent,re-pre-sent,773,573
lessons,les-sons,772,551
pour,pour,771,604
champ,champ,771,275
testing,tes-ting,771,572
reported,re-por-ted,771,613
extraordinary,ex-traor-di-na-ry,771,587
hopes,hopes,770,628
twins,twins,770,474
rice,rice,769,447
squeeze,squeeze,769,607
meantime,mean-time,769,684
furniture,fur-ni-ture,769,538
fascinating,fas-ci-na-ting,769,617
bend,bend,768,562
Valentine,Va-len-tine,768,180
beats,beats,767,648
host,host,766,511
begging,beg-ging,766,649
sore,sore,765,569
blocks,blocks,765,608
mysterious,mys-te-rio-us,765,612
shark,shark,764,258
timing,ti-ming,764,641
balance,ba-lance,764,604
technology,tec-hno-lo-gy,762,472
sets,sets,761,609
angle,an-gle,761,557
Dutch,Dutch,761,243
guilt,guilt,760,574
yards,yards,760,497
wondered,won-dered,760,644
degree,de-gree,759,585
checks,checks,759,550
knocking,knoc-king,759,566
invitation,in-vi-ta-tion,759,587
aim,aim,758,546
urgent,ur-gent,758,568
movement,mo-vement,757,553
mud,mud,756,506
Morris,Mor-ris,756,212
Heh,Heh,755,207
Chan,Chan,755,114
review,re-view,755,531
moron,mo-ron,754,578
souls,souls,754,503
Warren,War-ren,754,165
freaking,frea-king,754,559
influence,in-fluen-ce,754,599
Oliver,O-li-ver,753,143
tap,tap,752,480
seal,seal,752,472
Scotch,Scotch,752,478
product,pro-duct,752,449
testimony,tes-ti-mo-ny,752,388
Ace,Ace,751,321
broad,broad,751,527
skull,skull,750,503
films,films,750,347
status,sta-tus,750,525
Anderson,An-der-son,750,214
Chandler,Chan-dler,750,143
knee,knee,749,533
escort,es-cort,749,554
stretch,stretch,748,558
territory,ter-ri-to-ry,748,522
recording,re-cor-ding,748,371
Aaron,Aa-ron,747,162
entered,en-tered,747,625
affairs,af-fairs,747,531
murders,mur-ders,747,414
listened,lis-tened,747,642
spin,spin,746,550
favourite,fa-vourite,745,465
noble,no-ble,744,506
relief,re-lief,744,607
sample,sam-ple,744,478
angels,an-gels,744,458
shouting,shou-ting,744,462
Gene,Gene,743,272
rifle,ri-fle,743,385
skills,skills,743,591
hostage,hos-tage,743,357
Bo,Bo,742,137
tax,tax,742,495
chicks,chicks,742,466
deaf,deaf,741,482
port,port,741,382
sticking,stic-king,741,659
Foundation,Foun-da-tion,740,374
Patrick,Pa-trick,739,199
literally,li-te-rally,739,565
technically,tec-hni-cally,739,611
Ugh,Ugh,738,451
foul,foul,738,468
habit,ha-bit,738,624
Harris,Har-ris,738,181
pattern,pat-tern,738,522
charged,charged,737,588
removed,re-moved,737,585
occurred,oc-curred,737,626
lad,lad,736,339
beans,beans,736,428
deeply,dee-ply,736,596
option,op-tion,736,565
confirm,con-firm,736,520
Yale,Yale,734,216
coward,co-ward,734,518
brief,brief,732,598
gifts,gifts,732,499
benefit,be-ne-fit,732,560
awkward,aw-kward,730,570
adult,a-dult,729,573
liver,li-ver,729,428
flip,flip,728,488
holds,holds,728,597
bombs,bombs,728,381
drives,drives,728,601
jumping,jum-ping,728,585
ward,ward,727,401
Diane,Dia-ne,727,170
counsel,coun-sel,726,399
gal,gal,725,429
debt,debt,725,489
corn,corn,725,403
international,in-ter-na-tio-nal,725,489
testify,tes-ti-fy,724,413
traveling,tra-veling,724,566
shown,shown,723,640
cared,cared,723,634
roses,ro-ses,723,444
cotton,cot-ton,723,345
tragedy,tra-ge-dy,723,566
facility,fa-ci-li-ty,723,470
childhood,child-hood,723,559
pro,pro,722,490
self,self,722,534
brush,brush,722,584
homes,homes,722,539
towel,towel,722,525
Wally,Wal-ly,722,134
admire,a-dmire,722,597
jet,jet,721,413
Murphy,Murp-hy,721,197
costume,cos-tume,721,395
lightning,ligh-tning,721,360
bush,bush,720,403
prick,prick,720,484
frame,frame,719,527
anxious,an-xious,719,605
respond,res-pond,719,572
Harvard,Har-vard,719,346
headache,hea-dache,719,542
washed,washed,718,596
ghosts,ghosts,718,302
Marine,Ma-rine,718,284
Virginia,Vir-gi-nia,718,290
flies,flies,717,558
wounds,wounds,717,504
Louise,Lou-ise,717,237
Palmer,Pal-mer,717,166
supplies,sup-plies,717,514
pays,pays,715,627
attend,at-tend,715,591
sacred,sa-cred,715,497
