word,splitted,freqcount,cdcount
pretty,pret-ty,20003,6344
ready,rea-dy,19778,6398
heard,heard,19775,6530
whole,whole,19660,6432
seen,seen,19633,6541
together,to-get-her,19553,6450
fuck,fuck,19307,1734
minute,mi-nute,19252,6066
men,men,19011,4996
head,head,18947,6294
matter,mat-ter,18900,6242
haven,ha-ven,18844,6421
knew,knew,18817,6296
Excuse,Ex-cuse,18773,6042
many,ma-ny,18331,6297
idea,i-d-ea,18311,6359
without,wit-hout,18087,6512
play,play,18081,5343
family,fa-mily,18067,5340
meet,meet,17966,5986
most,most,17889,6134
run,run,17878,6063
while,while,17821,6545
wife,wife,17795,4811
once,once,17589,6405
live,live,17574,6052
somebody,so-me-body,17571,5814
everybody,e-ve-ry-body,17555,5691
used,used,17551,6326
use,use,17536,6453
myself,my-self,17470,6328
took,took,17454,6404
yet,yet,17428,6403
start,start,17345,6330
called,called,17341,6101
couldn,cou-ldn,17336,6284
kid,kid,17299,4625
tomorrow,to-mor-row,17134,5661
happy,hap-py,16993,5531
school,school,16989,4531
problem,pro-blem,16833,5872
watch,watch,16831,5882
bring,bring,16685,6140
fucking,fuc-king,16603,1556
actually,ac-tually,16439,5486
business,bu-siness,16371,5186
says,says,16356,5926
hope,hope,16352,6123
open,o-pen,16341,5847
already,al-rea-dy,16246,6350
since,since,16064,6285
looks,looks,15886,6058
sit,sit,15879,5582
Mrs,M-rs,15858,3415
cause,cause,15812,4946
alone,a-lone,15735,5920
hard,hard,15700,6095
wants,wants,15655,6036
stuff,stuff,15653,5429
turn,turn,15630,5931
days,days,15592,5801
friends,friends,15578,5484
until,un-til,15426,6129
few,few,15393,6032
kids,kids,15356,4510
honey,ho-ney,15325,4185
Dr,Dr,15194,2638
gone,gone,15135,5920
both,both,15062,6112
door,door,14895,5286
later,la-ter,14889,5951
saying,say-ing,14874,5819
such,such,14852,5626
killed,killed,14792,4422
having,ha-ving,14752,5879
face,face,14747,5610
worry,wor-ry,14638,5727
ago,a-go,14592,5851
five,five,14558,5205
second,se-cond,14513,5734
brother,brot-her,14481,3795
damn,damn,14460,4711
case,case,14403,4885
thinking,thin-king,14353,5707
probably,pro-bably,14323,5753
beautiful,bea-u-tiful,14266,4973
hand,hand,14262,5562
check,check,14228,5293
year,year,14174,4981
forget,for-get,14130,5661
hit,hit,14025,5092
lost,lost,13974,5685
minutes,mi-nutes,13924,5208
crazy,cra-zy,13886,5039
late,late,13756,5576
phone,phone,13756,4502
Nobody,No-bo-dy,13599,5143
end,end,13559,5673
easy,ea-sy,13551,5385
doctor,doc-tor,13461,3703
Shut,Shut,13455,4828
under,un-der,13358,5576
part,part,13337,5604
deal,deal,13330,5231
die,die,13318,4657
soon,soon,13140,5603
four,four,13045,4932
anyone,a-nyo-ne,13018,5562
pay,pay,12985,4936
happen,hap-pen,12968,5673
true,true,12921,5312
each,each,12916,5480
supposed,sup-posed,12865,5464
em,em,12849,3135
eat,eat,12846,4834
Jack,Jack,12831,1650
mine,mine,12800,5426
working,wor-king,12775,5370
town,town,12644,4116
afraid,a-fraid,12631,4944
drink,drink,12617,4353
exactly,e-xac-tly,12607,5481
whatever,wha-te-ver,12584,5573
hurt,hurt,12564,5123
knows,knows,12492,5479
heart,heart,12453,4582
gave,gave,12428,5529
young,young,12402,4685
everyone,e-ve-ryone,12324,5106
chance,chance,12303,5343
read,read,12302,4733
makes,makes,12296,5642
number,num-ber,12288,4542
taking,ta-king,12263,5641
change,change,12258,5259
week,week,12164,5024
anyway,a-ny-way,12164,5348
married,mar-ried,12163,3952
point,point,12063,5202
hands,hands,12063,5056
police,po-lice,12044,3369
word,word,12013,5147
fun,fun,12010,4632
wish,wish,11991,4968
bit,bit,11987,5084
aren,a-ren,11946,5475
game,game,11926,3774
party,par-ty,11890,3724
set,set,11805,5185
cut,cut,11718,4940
comes,comes,11656,5304
sleep,sleep,11625,4661
shot,shot,11599,4236
anybody,a-ny-bo-dy,11573,4863
ass,ass,11545,3379
stand,stand,11536,4917
water,wa-ter,11478,4127
boys,boys,11432,3747
trouble,trou-ble,11401,4785
dear,dear,11395,3448
couple,cou-ple,11394,4989
gets,gets,11364,5311
making,ma-king,11349,5422
eyes,eyes,11299,4766
break,break,11275,5023
story,sto-ry,11260,4265
far,far,11259,5187
times,times,11221,5170
Um,Um,11197,2766
close,close,11191,5181
means,means,11136,5250
funny,fun-ny,11127,4659
goes,goes,11081,5163
lady,la-dy,11071,4129
death,death,11051,4278
asked,asked,11029,5102
walk,walk,11009,4848
fire,fire,10990,3948
hours,hours,10959,4859
hate,hate,10944,4752
gun,gun,10873,2976
rest,rest,10861,5142
person,per-son,10857,4712
inside,in-side,10775,4811
waiting,wai-ting,10767,4980
different,dif-ferent,10686,4860
girls,girls,10626,3635
Captain,Cap-tain,10622,1785
least,least,10596,5406
important,im-por-tant,10587,4878
Ah,Ah,10535,3435
also,al-so,10528,4765
line,line,10515,4539
yours,yours,10441,5069
office,of-fice,10399,3975
dinner,din-ner,10336,3958
quite,quite,10332,4287
against,a-gainst,10288,4528
fight,fight,10255,3703
side,side,10247,4725
six,six,10176,4351
half,half,10156,4685
pick,pick,10118,4726
question,ques-tion,10116,4587
ahead,a-head,10115,4726
Michael,Mic-hael,10115,1086
cool,cool,9990,3670
women,wo-men,9978,3827
body,bo-dy,9972,3961
high,high,9945,4450
husband,hus-band,9935,3377
John,John,9877,1996
reason,rea-son,9858,4828
almost,al-most,9857,4950
dog,dog,9835,3049
buy,buy,9814,4286
truth,truth,9801,4193
met,met,9758,4456
telling,tel-ling,9730,4837
hot,hot,9682,4209
anymore,a-ny-more,9597,4514
behind,be-hind,9581,4729
started,star-ted,9566,4727
speak,speak,9546,4289
bed,bed,9543,4113
moment,mo-ment,9539,4391
tried,tried,9529,4867
blood,blood,9492,3526
ma,ma,9476,2738
shall,shall,9441,3061
Daddy,Dad-dy,9439,2645
stupid,stu-pid,9405,4276
along,a-long,9330,4314
either,eit-her,9308,4986
though,though,9279,4620
front,front,9259,4589
sister,sis-ter,9207,3046
Bye,Bye,9184,3473
send,send,9169,4250
welcome,wel-come,9140,4499
sometimes,so-metimes,9129,4393
trust,trust,9087,4242
free,free,9054,4278
book,book,9026,3244
answer,an-swer,8986,4344
between,be-tween,8932,4654
children,chil-dren,8930,3276
war,war,8912,2546
Hurry,Hur-ry,8856,3638
fact,fact,8801,4369
brought,brought,8786,4666
bet,bet,8763,3981
clear,clear,8763,4184
its,its,8757,3818
white,white,8744,3355
glad,glad,8740,4312
daughter,daugh-ter,8739,2993
outside,ou-tside,8671,4429
city,ci-ty,8624,3321
bitch,bitch,8609,2849
feeling,fee-ling,8577,4344
black,black,8565,3190
seems,seems,8545,4557
full,full,8512,4326
till,till,8503,4158
sick,sick,8437,3867
light,light,8425,3924
shoot,shoot,8412,3264
news,news,8399,3976
lose,lose,8382,4251
wonderful,won-der-ful,8364,3362
months,months,8314,4025
save,save,8278,4028
hour,hour,8277,4343
country,coun-try,8254,3298
Jesus,Je-sus,8220,2273
needs,needs,8198,4390
Wow,Wow,8160,3377
able,a-ble,8155,4285
Frank,Frank,8129,1303
perfect,per-fect,8091,3915
shouldn,sho-uldn,8083,4454
running,run-ning,8054,4268
child,child,8040,3067
Whoa,Whoa,8023,2473
died,died,8018,3730
order,or-der,7985,3825
living,li-ving,7983,4108
sounds,sounds,7970,4362
alive,a-live,7878,3735
food,food,7876,3605
gentlemen,gen-tle-men,7874,2943
luck,luck,7840,3874
hair,hair,7831,3632
drive,drive,7810,3714
promise,pro-mise,7809,3874
sex,sex,7761,2490
music,mu-sic,7734,2699
ya,ya,7664,2131
power,po-wer,7600,2980
sort,sort,7584,3753
special,spe-cial,7577,3885
serious,se-rio-us,7566,4006
street,street,7557,3411
red,red,7551,3042
dance,dance,7550,2465
hang,hang,7535,3879
touch,touch,7534,4000
team,team,7528,2623
playing,play-ing,7515,3707
company,com-pa-ny,7507,3283
George,George,7474,1163
pull,pull,7469,3679
plan,plan,7432,3528
sweet,sweet,7405,3578
ten,ten,7395,3273
coffee,cof-fee,7371,3039
lucky,luc-ky,7316,3874
sound,sound,7313,4069
safe,safe,7303,3522
date,date,7218,2987
leaving,lea-ving,7211,3962
parents,pa-rents,7177,2902
President,Pre-si-dent,7174,1551
himself,him-self,7168,3749
seem,seem,7131,4104
lives,lives,7124,4028
air,air,7090,3325
taken,ta-ken,7071,4027
York,York,7069,2077
picture,pic-ture,7061,3178
ladies,la-dies,7054,3101
Lord,Lord,7046,1994
sent,sent,7038,3760
fast,fast,7010,3808
happens,hap-pens,6996,4060
Perhaps,Per-haps,6939,2926
catch,catch,6911,3765
ride,ride,6904,3116
win,win,6867,2788
kidding,kid-ding,6822,3698
top,top,6805,3606
scared,scared,6803,3316
dream,dream,6798,2809
sign,sign,6797,3519
meeting,mee-ting,6752,3307
sense,sense,6722,3839
beat,beat,6716,3192
control,con-trol,6662,3263
drop,drop,6661,3548
cold,cold,6638,3509
weeks,weeks,6637,3474
darling,dar-ling,6613,1907
figure,fi-gure,6598,3693
king,king,6592,1688
poor,poor,6583,3224
throw,throw,6570,3674
asking,as-king,6546,3849
Joe,Joe,6532,1169
write,write,6467,2942
cannot,can-not,6465,3080
suppose,sup-pose,6416,2854
small,small,6373,3533
human,hu-man,6363,2931
piece,piece,6349,3510
boss,boss,6339,2333
hospital,hos-pi-tal,6334,2611
Uncle,Un-cle,6327,1865
past,past,6312,3633
calling,cal-ling,6311,3660
known,known,6300,3732
follow,fol-low,6283,3431
Sam,Sam,6281,948
movie,mo-vie,6271,2101
ha,ha,6260,1109
straight,straight,6244,3590
Christmas,Chris-tmas,6244,1382
weren,we-ren,6237,3867
words,words,6223,3315
clean,clean,6183,3455
kiss,kiss,6179,2739
looked,looked,6166,3650
feet,feet,6157,3256
evening,e-vening,6155,2803
million,mil-lion,6145,2528
lie,lie,6133,3353
felt,felt,6111,3349
moving,mo-ving,6104,3320
certainly,cer-tain-ly,6067,3021
step,step,6052,3343
learn,learn,6047,3414
fall,fall,6044,3322
Bill,Bill,6041,1868
questions,ques-tions,6016,3169
finally,fi-nal-ly,5989,3591
takes,takes,5986,3622
class,class,5985,2445
quiet,qui-et,5978,3135
wonder,won-der,5966,3567
Goodbye,Good-bye,5942,2268
law,law,5932,2517
become,be-come,5894,3286
General,Ge-neral,5885,1589
worked,worked,5877,3544
rather,rat-her,5825,3305
possible,pos-si-ble,5816,3373
goddamn,god-damn,5815,1523
unless,un-less,5798,3653
mad,mad,5784,2965
absolutely,a-bso-lu-tely,5769,3291
tired,ti-red,5745,3148
murder,mur-der,5717,2046
road,road,5709,2766
Mike,Mike,5707,1077
eye,eye,5701,3216
except,ex-cept,5696,3610
somewhere,so-mewhere,5688,3528
explain,ex-plain,5670,3386
Charlie,Char-lie,5668,975
less,less,5666,3527
none,none,5641,3522
loved,loved,5627,2957
giving,gi-ving,5613,3561
seeing,see-ing,5591,3430
Tom,Tom,5588,1109
secret,se-cret,5585,2847
wear,wear,5576,3127
worth,worth,5569,3301
act,act,5565,3086
careful,ca-reful,5550,3256
quick,quick,5542,3097
handle,han-dle,5529,3272
pass,pass,5514,3148
early,ear-ly,5510,3284
report,re-port,5508,2621
state,state,5500,2669
busy,bu-sy,5433,3206
turned,turned,5388,3459
table,ta-ble,5387,2889
wake,wake,5366,2929
works,works,5357,3406
broke,broke,5355,3149
ball,ball,5353,2070
Major,Ma-jor,5343,1760
seven,se-ven,5327,2780
mouth,mouth,5325,3022
marry,mar-ry,5322,2046
meant,meant,5316,3348
fault,fault,5310,3101
lunch,lunch,5310,2637
Al,Al,5306,821
Lieutenant,Lie-u-tenant,5306,886
expect,ex-pect,5299,3306
Hmm,Hmm,5291,2093
Mama,Ma-ma,5289,1478
future,fu-ture,5278,2631
paper,pa-per,5271,2626
officer,of-fi-cer,5265,2026
hotel,ho-tel,5264,2021
buddy,bud-dy,5247,2321
Agent,A-gent,5235,1399
thinks,thinks,5235,3274
talked,talked,5226,3187
blue,blue,5222,2487
American,A-me-ri-can,5213,2090
mistake,mis-take,5200,3121
Tv,T-v,5199,2263
David,Da-vid,5196,950
ones,ones,5177,3185
wedding,wed-ding,5173,1654
clothes,clothes,5158,2790
weird,weird,5156,2597
changed,changed,5148,3188
court,court,5137,1839
floor,floor,5132,2732
watching,watc-hing,5081,3138
building,buil-ding,5078,2411
earth,earth,5074,2339
dude,dude,5071,1581
others,ot-hers,5061,2916
longer,lon-ger,5046,3279
forgot,for-got,5045,3217
finish,fi-nish,5045,3124
ship,ship,5043,1163
club,club,5038,2156
attention,at-ten-tion,5032,3000
eight,eight,5010,2682
worse,worse,5002,3252
pain,pain,4995,2568
Ben,Ben,4994,675
th,th,4989,2289
sing,sing,4977,1746
blow,blow,4976,2826
choice,choice,4975,3095
ls,l-s,4967,1122
Ray,Ray,4966,748
birthday,birth-day,4958,1672
stick,stick,4953,2995
relax,re-lax,4936,2807
yesterday,yes-ter-day,4935,3020
honor,ho-nor,4912,1887
smart,smart,4909,2793
Colonel,Co-lonel,4909,642
boat,boat,4885,1457
plane,plane,4872,1691
month,month,4854,2895
lovely,lo-vely,4853,2473
given,gi-ven,4851,3071
train,train,4848,1760
fair,fair,4832,2810
worried,wor-ried,4831,3061
Ooh,Ooh,4827,1755
needed,nee-ded,4818,3101
sitting,sit-ting,4814,3005
security,se-cu-ri-ty,4810,2046
cover,co-ver,4808,2782
Paul,Paul,4801,928
across,a-cross,4801,2892
bag,bag,4796,2508
terrible,ter-ri-ble,4795,2810
caught,caught,4791,3063
song,song,4778,1946
spend,spend,4757,3031
horse,horse,4737,1577
ring,ring,4730,2075
sell,sell,4705,2441
return,re-turn,4676,2611
personal,per-so-nal,4675,2828
system,sys-tem,4667,2240
message,mes-sage,4667,2424
Bob,Bob,4666,968
afternoon,af-ter-noon,4666,2597
hasn,ha-sn,4625,3069
happening,hap-pening,4618,2792
tough,tough,4616,2746
Christ,Christ,4597,1722
Peter,Pe-ter,4596,785
quit,quit,4595,2408
count,count,4588,2655
box,box,4577,2353
missed,missed,4568,2924
present,pre-sent,4562,2622
kept,kept,4559,3028
charge,charge,4559,2675
information,in-for-ma-tion,4557,2373
fool,fool,4556,2370
simple,sim-ple,4555,2861
middle,mid-dle,4549,2957
calm,calm,4541,2466
surprise,sur-prise,4534,2738
forever,fo-re-ver,4529,2737
decided,de-ci-ded,4521,2942
dark,dark,4519,2629
