ll: l-l
hungry: hun-gry
problems: pro-blems
marriage: mar-riage
forgive: for-give
Henry: Hen-ry
figured: fi-gured
girlfriend: girl-friend
private: pri-vate
during: du-ring
attack: at-tack
definitely: de-fi-ni-tely
partner: par-tner
walking: wal-king
area: a-r-ea
dangerous: dan-ge-rous
offer: of-fer
upset: u-pset
driving: dri-ving
English: En-glish
Richard: Ric-hard
evil: e-vil
Joey: Joe-y
honest: ho-nest
forward: for-ward
boyfriend: boy-friend
single: sin-gle
position: po-si-tion
respect: res-pect
broken: bro-ken
public: pu-blic
Mommy: Mom-my
Congratulations: Con-gra-tu-la-tions
fighting: figh-ting
favor: fa-vor
upstairs: ups-tairs
seconds: se-conds
normal: nor-mal
protect: pro-tect
machine: mac-hine
speaking: spea-king
starting: star-ting
Professor: Pro-fes-sor
Bobby: Bob-by
bullshit: bulls-hit
thousand: thou-sand
Paris: Pa-ris
holding: hol-ding
Billy: Bil-ly
using: u-sing
Tony: To-ny
pictures: pic-tures
Holy: Ho-ly
putting: put-ting
involved: in-volved
relationship: re-la-tions-hip
neither: neit-her
bother: bot-her
especially: es-pe-cially
nervous: ner-vous
whether: whet-her
dying: dy-ing
dirty: dir-ty
breakfast: brea-kfast
idiot: i-di-ot
prison: pri-son
carry: car-ry
bastard: bas-tard
government: go-vern-ment
contact: con-tact
agree: a-gree
pardon: par-don
sweetheart: sweet-heart
seriously: se-rio-u-sly
department: de-par-tment
patient: pa-tient
awful: aw-ful
wondering: won-de-ring
Robert: Ro-bert
beginning: be-gin-ning
usually: u-sual-ly
Sergeant: Ser-geant
killer: kil-ler
listening: lis-tening
upon: u-pon
double: dou-ble
outta: out-ta
plenty: plen-ty
guilty: guil-ty
Jerry: Jer-ry
promised: pro-mised
fired: fi-red
chicken: chic-ken
bathroom: bat-hroom
asshole: ass-hole
reading: rea-ding
orders: or-ders
weekend: wee-kend
Detective: De-tec-tive
action: ac-tion
Sheriff: She-riff
eating: ea-ting
experience: ex-pe-rien-ce
obviously: o-bvio-u-sly
difficult: dif-fi-cult
staying: stay-ing
arrest: ar-rest
mention: men-tion
favorite: fa-vorite
sleeping: slee-ping
notice: no-tice
admit: a-dmit
extra: ex-tra
within: wit-hin
impossible: im-pos-si-ble
computer: com-pu-ter
angry: an-gry
visit: vi-sit
fellow: fel-low
kitchen: kitc-hen
feelings: fee-lings
often: of-ten
silly: sil-ly
camera: ca-mera
begin: be-gin
Larry: Lar-ry
quickly: quic-kly
Kelly: Kel-ly
shooting: shoo-ting
suddenly: sud-den-ly
writing: wri-ting
teacher: teac-her
ridiculous: ri-di-cu-lous
river: ri-ver
Shh: S-h-h
Rory: Ro-ry
decision: de-ci-sion
surprised: sur-prised
innocent: in-no-cent
emergency: e-mer-gen-cy
medical: me-di-cal
dancing: dan-cing
gotten: got-ten
bigger: big-ger
hanging: han-ging
sweetie: swee-tie
losing: lo-sing
client: cli-ent
crying: cry-ing
pressure: pres-sure
places: pla-ces
accept: ac-cept
further: furt-her
excellent: ex-cel-lent
magic: ma-gic
drinking: drin-king
corner: cor-ner
consider: con-si-der
ourselves: our-selves
acting: ac-ting
herself: her-self
laughing: laug-hing
copy: co-py
address: ad-dress
pregnant: pre-gnant
everywhere: e-ve-rywhere
papers: pa-pers
complete: com-plete
level: le-vel
witness: wi-tness
motherfucker: mot-herfucker
hardly: har-dly
keeping: kee-ping
duty: du-ty
interest: in-terest
bottle: bot-tle
helping: hel-ping
support: sup-port
Leo: L-eo
flying: fly-ing
decide: de-cide
United: U-ni-ted
bottom: bot-tom
hoping: ho-ping
conversation: con-ver-sa-tion
hero: he-ro
asleep: a-sleep
Roger: Ro-ger
final: fi-nal
continue: con-ti-nue
apologize: a-po-lo-gize
spirit: spi-rit
willing: wil-ling
study: stu-dy
Amy: A-my
possibly: pos-si-bly
above: a-bove
cousin: cou-sin
excited: ex-ci-ted
memory: me-mo-ry
