ll: ll
marriage: mar-riage
forgive: for-give
Henry: Hen-ry
figured: fi-gured
girlfriend: girl-friend
private: pri-vate
during: du-ring
attack: at-tack
definitely: de-fi-nite-ly
partner: part-ner
walking: wal-king
area: a-re-a
dangerous: dan-ge-rous
offer: of-fer
upset: up-set
driving: dri-ving
English: Eng-lish
Richard: Ri-chard
evil: e-vil
Joey: Jo-ey
honest: ho-nest
forward: for-ward
boyfriend: boy-friend
single: sin-gle
position: po-si-tion
respect: res-pect
broken: bro-ken
public: pub-lic
Mommy: Mom-my
Congratulations: Con-gra-tu-la-tions
fighting: figh-ting
favor: fa-vor
upstairs: up-stairs
seconds: se-conds
normal: nor-mal
protect: pro-tect
machine: ma-chine
speaking: spea-king
starting: star-ting
Professor: Pro-fes-sor
Bobby: Bob-by
bullshit: bull-shit
thousand: thou-sand
Paris: Pa-ris
holding: hol-ding
Billy: Bil-ly
using: u-sing
Tony: To-ny
pictures: pic-tures
Holy: Ho-ly
putting: put-ting
involved: in-volved
relationship: re-la-tion-ship
neither: nei-ther
bother: bo-ther
especially: es-pe-cial-ly
nervous: ner-vous
whether: whe-ther
dying: dy-ing
dirty: dir-ty
breakfast: break-fast
idiot: i-di-ot
prison: pri-son
carry: car-ry
bastard: bas-tard
government: go-vern-ment
contact: con-tact
agree: a-gree
pardon: par-don
sweetheart: sweet-heart
seriously: se-ri-ous-ly
department: de-part-ment
patient: pa-tient
awful: aw-ful
wondering: won-de-ring
Robert: Ro-bert
beginning: be-gin-ning
usually: u-sual-ly
Sergeant: Ser-geant
killer: kil-ler
listening: lis-tening
upon: u-pon
double: dou-ble
outta: out-ta
plenty: plen-ty
guilty: guil-ty
Jerry: Jer-ry
promised: pro-mised
fired: fi-red
chicken: chi-cken
bathroom: bath-room
asshole: ass-hole
reading: rea-ding
orders: or-ders
weekend: wee-kend
Detective: De-tec-tive
action: ac-tion
Sheriff: She-riff
eating: ea-ting
experience: ex-pe-ri-ence
obviously: ob-vi-ous-ly
difficult: dif-fi-cult
staying: stay-ing
arrest: ar-rest
mention: men-tion
favorite: favo-rite
sleeping: slee-ping
notice: no-tice
admit: ad-mit
extra: ex-tra
within: wi-thin
impossible: im-pos-si-ble
computer: com-pu-ter
angry: an-gry
visit: vi-sit
fellow: fel-low
kitchen: kit-chen
feelings: fee-lings
often: o-ften
silly: sil-ly
camera: came-ra
begin: be-gin
Larry: Lar-ry
quickly: quick-ly
Kelly: Kel-ly
shooting: shoo-ting
suddenly: sud-den-ly
writing: wri-ting
teacher: tea-cher
ridiculous: ri-di-cu-lous
river: ri-ver
Shh: Shh
Rory: Ro-ry
decision: de-ci-sion
surprised: sur-prised
innocent: in-no-cent
emergency: e-mer-gen-cy
medical: me-di-cal
dancing: dan-cing
gotten: got-ten
bigger: big-ger
hanging: hang-ing
sweetie: swee-tie
losing: lo-sing
client: cli-ent
crying: cry-ing
pressure: pres-sure
places: pla-ces
accept: ac-cept
further: fur-ther
excellent: ex-cel-lent
magic: ma-gic
drinking: drin-king
corner: cor-ner
consider: con-si-der
ourselves: our-selves
acting: ac-ting
herself: her-self
laughing: laugh-ing
copy: co-py
address: ad-dress
pregnant: preg-nant
everywhere: e-very-where
papers: pa-pers
complete: com-plete
level: le-vel
witness: wit-ness
motherfucker: mo-ther-fu-cker
hardly: hard-ly
keeping: kee-ping
duty: du-ty
interest: in-terest
bottle: bot-tle
helping: hel-ping
support: sup-port
Leo: Le-o
flying: fly-ing
decide: de-cide
United: U-ni-ted
bottom: bot-tom
hoping: ho-ping
conversation: con-ver-sa-tion
hero: he-ro
asleep: a-sleep
